idx,category,type,price,meta
591,STRUCTURE,BOS_CONFIRMED,0.5736,"{'source': 'pullback_extreme', 'confirmed_at': 636, 'pb_start': 439, 'cycle_id': 1, 'structure_id': 0, 'struct_direction': 1}"
636,STATE,STATE_CHANGED,,"{'from': 'pullback_range', 'to': 'breakout', 'structure_id': 0, 'struct_direction': 1, 'reason': 'breakout_pattern', 'pat': 'one_maru_continuous', 'effective_idx': 636}"
637,STRUCTURE,CTS_UPDATED,0.58415,"{'via': 'replay_raw', 'cycle_id': 1, 'structure_id': 0, 'struct_direction': 1}"
638,STRUCTURE,CTS_UPDATED,0.58422,"{'via': 'replay_raw', 'cycle_id': 1, 'structure_id': 0, 'struct_direction': 1}"
639,STRUCTURE,CTS_UPDATED,0.58434,"{'via': 'replay_raw', 'cycle_id': 1, 'structure_id': 0, 'struct_direction': 1}"
640,RANGE,RANGE_STARTED,,"{'reason': 'pullback_created_range', 'cts_idx': 639, 'cts_price': 0.58434, 'pullback_apply_idx': 640, 'hi': 0.58434, 'lo': 0.58198, 'pat': 'one_maru_continuous', 'structure_id': 0, 'struct_direction': 1}"
640,STRUCTURE,CTS_CONFIRMED,,"{'via': 'one_maru_continuous', 'cycle_id': 1, 'structure_id': 0, 'struct_direction': 1, 'confirmed_at': 640, 'cts_anchor_idx': 639}"
640,STATE,STATE_CHANGED,,"{'from': 'breakout', 'to': 'pullback', 'structure_id': 0, 'struct_direction': 1, 'reason': 'pullback_pattern', 'pat': 'one_maru_continuous', 'effective_idx': 640}"
641,STATE,STATE_CHANGED,,"{'from': 'pullback', 'to': 'pullback_range', 'structure_id': 0, 'struct_direction': 1, 'reason': 'replay_no_expand_pullback_side', 'effective_idx': 641}"
650,RANGE,RANGE_UPDATED,,"{'hi': 0.58448, 'lo': 0.58198, 'structure_id': 0, 'struct_direction': 1}"
650,STRUCTURE,CTS_THRESHOLD_UPDATED,0.58448,"{'prev': 0.58434, 'reason': 'range_sync', 'cycle_id': 1, 'structure_id': 0, 'struct_direction': 1}"
652,RANGE,RANGE_RESET,,"{'reason': 'range_breakout', 'pat': 'one_maru_opposite', 'structure_id': 0, 'struct_direction': 1}"
652,STRUCTURE,CTS_ESTABLISHED,0.58534,"{'via': 'one_maru_opposite', 'anchor_idx': 651, 'pattern_name': 'one_maru_opposite', 'confirmed_at': 652, 'cycle_id': 2, 'structure_id': 0, 'struct_direction': 1}"
640,STRUCTURE,BOS_CONFIRMED,0.58198,"{'source': 'pullback_extreme', 'confirmed_at': 652, 'pb_start': 640, 'cycle_id': 2, 'structure_id': 0, 'struct_direction': 1}"
652,STATE,STATE_CHANGED,,"{'from': 'pullback_range', 'to': 'breakout', 'structure_id': 0, 'struct_direction': 1, 'reason': 'breakout_pattern', 'pat': 'one_maru_opposite', 'effective_idx': 652}"
655,RANGE,RANGE_STARTED,,"{'start_idx': 653, 'confirm_idx': 655, 'hi': 0.58534, 'lo': 0.584, 'cts_idx': 652, 'cts_price': 0.58534, 'structure_id': 0, 'struct_direction': 1}"
655,STATE,STATE_CHANGED,,"{'from': 'breakout', 'to': 'range', 'structure_id': 0, 'struct_direction': 1, 'reason': 'range_confirmed', 'effective_idx': 653}"
654,RANGE,RANGE_UPDATED,,"{'hi': 0.58534, 'lo': 0.58392, 'structure_id': 0, 'struct_direction': 1}"
658,RANGE,RANGE_UPDATED,,"{'hi': 0.58534, 'lo': 0.58385, 'structure_id': 0, 'struct_direction': 1}"
662,RANGE,RANGE_UPDATED,,"{'hi': 0.58534, 'lo': 0.58354, 'structure_id': 0, 'struct_direction': 1}"
663,RANGE,RANGE_UPDATED,,"{'hi': 0.58534, 'lo': 0.58337, 'structure_id': 0, 'struct_direction': 1}"
664,RANGE,RANGE_UPDATED,,"{'hi': 0.58534, 'lo': 0.58334, 'structure_id': 0, 'struct_direction': 1}"
665,RANGE,RANGE_UPDATED,,"{'hi': 0.58534, 'lo': 0.58329, 'structure_id': 0, 'struct_direction': 1}"
666,RANGE,RANGE_UPDATED,,"{'hi': 0.58534, 'lo': 0.58324, 'structure_id': 0, 'struct_direction': 1}"
668,RANGE,RANGE_UPDATED,,"{'hi': 0.58534, 'lo': 0.58307, 'structure_id': 0, 'struct_direction': 1}"
679,RANGE,RANGE_UPDATED,,"{'hi': 0.58534, 'lo': 0.58294, 'structure_id': 0, 'struct_direction': 1}"
683,RANGE,RANGE_UPDATED,,"{'reason': 'pullback_expand', 'hi': 0.58534, 'lo': 0.5822, 'pat': 'one_maru_continuous', 'structure_id': 0, 'struct_direction': 1}"
683,STRUCTURE,CTS_CONFIRMED,,"{'via': 'one_maru_continuous', 'cycle_id': 2, 'structure_id': 0, 'struct_direction': 1, 'confirmed_at': 683, 'cts_anchor_idx': 652}"
683,STATE,STATE_CHANGED,,"{'from': 'range', 'to': 'pullback', 'structure_id': 0, 'struct_direction': 1, 'reason': 'pullback_pattern', 'pat': 'one_maru_continuous', 'effective_idx': 683}"
683,RANGE,RANGE_UPDATED,,"{'hi': 0.58534, 'lo': 0.5819, 'structure_id': 0, 'struct_direction': 1}"
683,STRUCTURE,REVERSAL_WATCH_START,0.58198,"{'anchor_idx': 683, 'bos_frozen': 0.58198, 'expires_idx': 688, 'structure_id': 0, 'struct_direction': 1}"
683,STRUCTURE,BOS_THRESHOLD_UPDATED,0.5819,"{'prev': 0.58198, 'reason': 'rv_anchor_failed', 'cycle_id': 2, 'structure_id': 0, 'struct_direction': 1}"
684,RANGE,RANGE_UPDATED,,"{'hi': 0.58534, 'lo': 0.5818, 'structure_id': 0, 'struct_direction': 1}"
684,STRUCTURE,BOS_THRESHOLD_UPDATED,0.5818,"{'prev': 0.5819, 'reason': 'probe_no_break', 'cycle_id': 2, 'structure_id': 0, 'struct_direction': 1}"
685,STATE,STATE_CHANGED,,"{'from': 'pullback', 'to': 'pullback_range', 'structure_id': 0, 'struct_direction': 1, 'reason': 'replay_no_expand_pullback_side', 'effective_idx': 685}"
704,RANGE,RANGE_UPDATED,,"{'hi': 0.58534, 'lo': 0.58166, 'structure_id': 0, 'struct_direction': 1}"
704,STATE,STATE_CHANGED,,"{'from': 'pullback_range', 'to': 'pullback', 'structure_id': 0, 'struct_direction': 1, 'reason': 'replay_expand_pullback_side', 'effective_idx': 704}"
704,STRUCTURE,BOS_THRESHOLD_UPDATED,0.58166,"{'prev': 0.5818, 'reason': 'probe_no_break', 'cycle_id': 2, 'structure_id': 0, 'struct_direction': 1}"
705,RANGE,RANGE_UPDATED,,"{'hi': 0.58534, 'lo': 0.58156, 'structure_id': 0, 'struct_direction': 1}"
705,STRUCTURE,BOS_THRESHOLD_UPDATED,0.58156,"{'prev': 0.58166, 'reason': 'probe_no_break', 'cycle_id': 2, 'structure_id': 0, 'struct_direction': 1}"
706,RANGE,RANGE_UPDATED,,"{'hi': 0.58534, 'lo': 0.58078, 'structure_id': 0, 'struct_direction': 1}"
706,STRUCTURE,REVERSAL_WATCH_START,0.58156,"{'anchor_idx': 706, 'bos_frozen': 0.58156, 'expires_idx': 711, 'structure_id': 0, 'struct_direction': 1}"
706,STRUCTURE,BOS_THRESHOLD_UPDATED,0.58078,"{'prev': 0.58156, 'reason': 'rv_anchor_failed', 'cycle_id': 2, 'structure_id': 0, 'struct_direction': 1}"
707,STRUCTURE,REVERSAL_WATCH_START,0.58078,"{'anchor_idx': 707, 'bos_frozen': 0.58078, 'expires_idx': 712, 'structure_id': 0, 'struct_direction': 1}"
707,STRUCTURE,REVERSAL_CANDIDATE,0.58078,"{'anchor_idx': 707, 'apply_idx': 710, 'pattern': '?', 'bos_frozen': 0.58078, 'expires_idx': 712, 'structure_id': 0, 'struct_direction': 1}"
710,STATE,STATE_CHANGED,,"{'from': 'pullback', 'to': 'reversal', 'structure_id': 0, 'struct_direction': 1, 'reason': 'reversal_pattern', 'pat': 'continuous', 'bos_frozen': 0.58078, 'effective_idx': 710}"
710,RANGE,RANGE_UPDATED,,"{'hi': 0.58534, 'lo': 0.57902, 'structure_id': 0, 'struct_direction': 1}"
703,STRUCTURE,CTS_ESTABLISHED,0.58195,"{'via': 'double_maru', 'anchor_idx': 702, 'pattern_name': 'double_maru', 'confirmed_at': 703, 'cycle_id': 0, 'structure_id': 1, 'struct_direction': -1}"
689,STRUCTURE,BOS_CONFIRMED,0.58424,"{'source': 'initial_prior_extreme', 'confirmed_at': 703, 'pb_start': None, 'cycle_id': 0, 'structure_id': 1, 'struct_direction': -1}"
703,STATE,STATE_CHANGED,,"{'from': 'none', 'to': 'breakout', 'structure_id': 1, 'struct_direction': -1, 'reason': 'breakout_pattern', 'pat': 'double_maru', 'effective_idx': 703}"
704,STRUCTURE,CTS_UPDATED,0.58166,"{'via': 'replay_raw', 'cycle_id': 0, 'structure_id': 1, 'struct_direction': -1}"
705,STRUCTURE,CTS_UPDATED,0.58156,"{'via': 'replay_raw', 'cycle_id': 0, 'structure_id': 1, 'struct_direction': -1}"
706,STRUCTURE,CTS_UPDATED,0.58078,"{'via': 'replay_raw', 'cycle_id': 0, 'structure_id': 1, 'struct_direction': -1}"
707,STRUCTURE,CTS_UPDATED,0.5803,"{'via': 'replay_raw', 'cycle_id': 0, 'structure_id': 1, 'struct_direction': -1}"
709,STRUCTURE,CTS_UPDATED,0.57989,"{'via': 'replay_raw', 'cycle_id': 0, 'structure_id': 1, 'struct_direction': -1}"
710,STRUCTURE,CTS_UPDATED,0.57902,"{'via': 'continuous', 'cycle_id': 0, 'structure_id': 1, 'struct_direction': -1}"
716,RANGE,RANGE_STARTED,,"{'start_idx': 711, 'confirm_idx': 716, 'hi': 0.58002, 'lo': 0.57902, 'cts_idx': 710, 'cts_price': 0.57902, 'structure_id': 1, 'struct_direction': -1}"
716,STATE,STATE_CHANGED,,"{'from': 'breakout', 'to': 'range', 'structure_id': 1, 'struct_direction': -1, 'reason': 'range_confirmed', 'effective_idx': 711}"
712,RANGE,RANGE_UPDATED,,"{'hi': 0.58088, 'lo': 0.57902, 'structure_id': 1, 'struct_direction': -1}"
713,RANGE,RANGE_UPDATED,,"{'hi': 0.58098, 'lo': 0.57902, 'structure_id': 1, 'struct_direction': -1}"
714,RANGE,RANGE_UPDATED,,"{'hi': 0.58108, 'lo': 0.57902, 'structure_id': 1, 'struct_direction': -1}"
724,RANGE,RANGE_UPDATED,,"{'hi': 0.58116, 'lo': 0.57902, 'structure_id': 1, 'struct_direction': -1}"
727,RANGE,RANGE_UPDATED,,"{'reason': 'pullback_expand', 'hi': 0.5818, 'lo': 0.57902, 'pat': 'one_maru_continuous', 'structure_id': 1, 'struct_direction': -1}"
727,STRUCTURE,CTS_CONFIRMED,,"{'via': 'one_maru_continuous', 'cycle_id': 0, 'structure_id': 1, 'struct_direction': -1, 'confirmed_at': 727, 'cts_anchor_idx': 710}"
727,STATE,STATE_CHANGED,,"{'from': 'range', 'to': 'pullback', 'structure_id': 1, 'struct_direction': -1, 'reason': 'pullback_pattern', 'pat': 'one_maru_continuous', 'effective_idx': 727}"
728,RANGE,RANGE_UPDATED,,"{'hi': 0.58196, 'lo': 0.57902, 'structure_id': 1, 'struct_direction': -1}"
729,STATE,STATE_CHANGED,,"{'from': 'pullback', 'to': 'pullback_range', 'structure_id': 1, 'struct_direction': -1, 'reason': 'replay_no_expand_pullback_side', 'effective_idx': 729}"
741,RANGE,RANGE_UPDATED,,"{'hi': 0.58196, 'lo': 0.57899, 'structure_id': 1, 'struct_direction': -1}"
741,STRUCTURE,CTS_THRESHOLD_UPDATED,0.57899,"{'prev': 0.57902, 'reason': 'range_sync', 'cycle_id': 0, 'structure_id': 1, 'struct_direction': -1}"
742,RANGE,RANGE_UPDATED,,"{'hi': 0.58196, 'lo': 0.57886, 'structure_id': 1, 'struct_direction': -1}"
742,STRUCTURE,CTS_THRESHOLD_UPDATED,0.57886,"{'prev': 0.57899, 'reason': 'range_sync', 'cycle_id': 0, 'structure_id': 1, 'struct_direction': -1}"
746,RANGE,RANGE_UPDATED,,"{'hi': 0.58196, 'lo': 0.57856, 'structure_id': 1, 'struct_direction': -1}"
746,STRUCTURE,CTS_THRESHOLD_UPDATED,0.57856,"{'prev': 0.57886, 'reason': 'range_sync', 'cycle_id': 0, 'structure_id': 1, 'struct_direction': -1}"
748,RANGE,RANGE_RESET,,"{'reason': 'range_breakout', 'pat': 'one_maru_opposite', 'structure_id': 1, 'struct_direction': -1}"
748,STRUCTURE,CTS_ESTABLISHED,0.57764,"{'via': 'one_maru_opposite', 'anchor_idx': 747, 'pattern_name': 'one_maru_opposite', 'confirmed_at': 748, 'cycle_id': 1, 'structure_id': 1, 'struct_direction': -1}"
728,STRUCTURE,BOS_CONFIRMED,0.58196,"{'source': 'pullback_extreme', 'confirmed_at': 748, 'pb_start': 727, 'cycle_id': 1, 'structure_id': 1, 'struct_direction': -1}"
748,STATE,STATE_CHANGED,,"{'from': 'pullback_range', 'to': 'breakout', 'structure_id': 1, 'struct_direction': -1, 'reason': 'breakout_pattern', 'pat': 'one_maru_opposite', 'effective_idx': 748}"
750,RANGE,RANGE_STARTED,,"{'start_idx': 748, 'confirm_idx': 750, 'hi': 0.57835, 'lo': 0.57764, 'cts_idx': 748, 'cts_price': 0.57764, 'structure_id': 1, 'struct_direction': -1}"
750,STATE,STATE_CHANGED,,"{'from': 'breakout', 'to': 'range', 'structure_id': 1, 'struct_direction': -1, 'reason': 'range_confirmed', 'effective_idx': 748}"
749,RANGE,RANGE_UPDATED,,"{'hi': 0.57841, 'lo': 0.57764, 'structure_id': 1, 'struct_direction': -1}"
751,RANGE,RANGE_UPDATED,,"{'hi': 0.57841, 'lo': 0.57703, 'structure_id': 1, 'struct_direction': -1}"
751,STRUCTURE,CTS_UPDATED,0.57703,"{'via': 'replay_raw', 'cycle_id': 1, 'structure_id': 1, 'struct_direction': -1}"
752,RANGE,RANGE_UPDATED,,"{'hi': 0.57841, 'lo': 0.57675, 'structure_id': 1, 'struct_direction': -1}"
752,STRUCTURE,CTS_UPDATED,0.57675,"{'via': 'replay_raw', 'cycle_id': 1, 'structure_id': 1, 'struct_direction': -1}"
753,RANGE,RANGE_UPDATED,,"{'hi': 0.57841, 'lo': 0.5764, 'structure_id': 1, 'struct_direction': -1}"
753,STRUCTURE,CTS_UPDATED,0.5764,"{'via': 'replay_raw', 'cycle_id': 1, 'structure_id': 1, 'struct_direction': -1}"
756,RANGE,RANGE_UPDATED,,"{'hi': 0.57841, 'lo': 0.57602, 'structure_id': 1, 'struct_direction': -1}"
756,STRUCTURE,CTS_UPDATED,0.57602,"{'via': 'replay_raw', 'cycle_id': 1, 'structure_id': 1, 'struct_direction': -1}"
760,STRUCTURE,CTS_UPDATED,0.57581,"{'via': 'replay_raw', 'cycle_id': 1, 'structure_id': 1, 'struct_direction': -1}"
761,RANGE,RANGE_RESET,,"{'reason': 'range_breakout', 'pat': 'one_maru_continuous', 'structure_id': 1, 'struct_direction': -1}"
761,STRUCTURE,CTS_UPDATED,0.574,"{'via': 'one_maru_continuous', 'cycle_id': 1, 'structure_id': 1, 'struct_direction': -1}"
761,STATE,STATE_CHANGED,,"{'from': 'range', 'to': 'breakout', 'structure_id': 1, 'struct_direction': -1, 'reason': 'breakout_pattern', 'pat': 'one_maru_continuous', 'effective_idx': 761}"
764,RANGE,RANGE_STARTED,,"{'start_idx': 762, 'confirm_idx': 764, 'hi': 0.57552, 'lo': 0.574, 'cts_idx': 761, 'cts_price': 0.574, 'structure_id': 1, 'struct_direction': -1}"
764,STATE,STATE_CHANGED,,"{'from': 'breakout', 'to': 'range', 'structure_id': 1, 'struct_direction': -1, 'reason': 'range_confirmed', 'effective_idx': 762}"
