time,o,h,l,c,volume
2025-11-27 06:00:00+00:00,0.57248,0.57258,0.57154,0.57195,1889
2025-11-27 07:00:00+00:00,0.57196,0.57256,0.57164,0.57245,2444
2025-11-27 08:00:00+00:00,0.57246,0.57253,0.57146,0.57159,2977
2025-11-27 09:00:00+00:00,0.57158,0.5718,0.57119,0.57152,2849
2025-11-27 10:00:00+00:00,0.57155,0.57161,0.57092,0.57098,1843
2025-11-27 11:00:00+00:00,0.57098,0.57163,0.57088,0.57154,2373
2025-11-27 12:00:00+00:00,0.57154,0.57177,0.57126,0.57128,1728
2025-11-27 13:00:00+00:00,0.5713,0.57203,0.5712,0.57186,2540
2025-11-27 14:00:00+00:00,0.57186,0.57214,0.57156,0.57199,1686
2025-11-27 15:00:00+00:00,0.57198,0.573,0.57194,0.57268,2103
2025-11-27 16:00:00+00:00,0.57268,0.57282,0.5723,0.57254,1445
2025-11-27 17:00:00+00:00,0.57254,0.57266,0.57208,0.57235,723
2025-11-27 18:00:00+00:00,0.57235,0.5724,0.5722,0.5722,283
2025-11-27 19:00:00+00:00,0.57222,0.57236,0.57214,0.57218,574
2025-11-27 20:00:00+00:00,0.5722,0.57228,0.57208,0.57214,420
2025-11-27 21:00:00+00:00,0.57214,0.57294,0.57214,0.57294,644
2025-11-27 22:00:00+00:00,0.57258,0.57296,0.57205,0.57238,1349
2025-11-27 23:00:00+00:00,0.57234,0.57302,0.57226,0.57292,717
2025-11-28 00:00:00+00:00,0.57293,0.57316,0.57242,0.57262,2053
2025-11-28 01:00:00+00:00,0.57264,0.57293,0.5723,0.5724,2317
2025-11-28 02:00:00+00:00,0.57239,0.57258,0.5721,0.57234,7869
2025-11-28 03:00:00+00:00,0.57235,0.5725,0.5719,0.57208,19337
2025-11-28 04:00:00+00:00,0.57208,0.57228,0.57172,0.5718,13732
2025-11-28 05:00:00+00:00,0.5718,0.57199,0.5716,0.57185,18547
2025-11-28 06:00:00+00:00,0.57186,0.5721,0.5713,0.57142,18238
2025-11-28 07:00:00+00:00,0.57142,0.57179,0.57103,0.57107,23444
2025-11-28 08:00:00+00:00,0.57106,0.57146,0.57087,0.5709,18562
2025-11-28 09:00:00+00:00,0.57092,0.57128,0.57071,0.57092,22717
2025-11-28 10:00:00+00:00,0.57092,0.57109,0.5705,0.57066,18405
2025-11-28 11:00:00+00:00,0.57066,0.57096,0.57038,0.57062,25854
2025-11-28 12:00:00+00:00,0.57063,0.57116,0.57044,0.5709,21648
2025-11-28 13:00:00+00:00,0.57092,0.57211,0.57083,0.57204,16349
2025-11-28 14:00:00+00:00,0.57204,0.57246,0.57176,0.57223,4092
2025-11-28 15:00:00+00:00,0.57224,0.57438,0.57214,0.57402,5148
2025-11-28 16:00:00+00:00,0.57402,0.57407,0.57319,0.57354,3636
2025-11-28 17:00:00+00:00,0.57354,0.57392,0.57318,0.57384,2254
2025-11-28 18:00:00+00:00,0.57384,0.57388,0.57339,0.57354,2695
2025-11-28 19:00:00+00:00,0.57354,0.57372,0.57353,0.57367,1683
2025-11-28 20:00:00+00:00,0.57368,0.57392,0.5736,0.57382,7950
2025-11-28 21:00:00+00:00,0.57382,0.57392,0.57324,0.57348,14582
2025-11-30 22:00:00+00:00,0.57268,0.5733,0.57268,0.57276,2534
2025-11-30 23:00:00+00:00,0.57273,0.57394,0.57273,0.5736,1443
2025-12-01 00:00:00+00:00,0.57362,0.57376,0.57301,0.57322,3315
2025-12-01 01:00:00+00:00,0.57321,0.57444,0.57303,0.57385,4940
2025-12-01 02:00:00+00:00,0.57386,0.57386,0.5729,0.57308,3297
2025-12-01 03:00:00+00:00,0.57307,0.57362,0.57256,0.57362,1990
2025-12-01 04:00:00+00:00,0.57364,0.57374,0.57314,0.57314,1595
2025-12-01 05:00:00+00:00,0.57314,0.5732,0.5726,0.5729,2002
2025-12-01 06:00:00+00:00,0.57291,0.57304,0.57272,0.57303,1869
2025-12-01 07:00:00+00:00,0.57305,0.57406,0.5726,0.57364,2464
2025-12-01 08:00:00+00:00,0.57364,0.574,0.57314,0.57346,3728
2025-12-01 09:00:00+00:00,0.57346,0.57398,0.57332,0.57378,3172
2025-12-01 10:00:00+00:00,0.57378,0.57392,0.57284,0.57324,3245
2025-12-01 11:00:00+00:00,0.57322,0.57381,0.5731,0.5737,2307
2025-12-01 12:00:00+00:00,0.5737,0.57482,0.57332,0.57479,2943
2025-12-01 13:00:00+00:00,0.5748,0.5752,0.57426,0.57446,3463
2025-12-01 14:00:00+00:00,0.57446,0.57453,0.57358,0.57409,4188
2025-12-01 15:00:00+00:00,0.57408,0.57446,0.57336,0.57418,4901
2025-12-01 16:00:00+00:00,0.57418,0.57438,0.57344,0.57352,3576
2025-12-01 17:00:00+00:00,0.57352,0.57402,0.57337,0.5737,2443
2025-12-01 18:00:00+00:00,0.5737,0.5738,0.57302,0.57314,1253
2025-12-01 19:00:00+00:00,0.57313,0.57314,0.57251,0.57268,1526
2025-12-01 20:00:00+00:00,0.57266,0.5728,0.57246,0.57278,1286
2025-12-01 21:00:00+00:00,0.57275,0.5729,0.5726,0.5729,696
2025-12-01 22:00:00+00:00,0.57244,0.5727,0.57237,0.57261,660
2025-12-01 23:00:00+00:00,0.57262,0.57291,0.5725,0.57253,540
2025-12-02 00:00:00+00:00,0.57255,0.57274,0.5721,0.5723,1403
2025-12-02 01:00:00+00:00,0.5723,0.57266,0.57186,0.57265,2063
2025-12-02 02:00:00+00:00,0.57264,0.5728,0.57236,0.57266,1738
2025-12-02 03:00:00+00:00,0.57267,0.57278,0.57221,0.5726,1455
2025-12-02 04:00:00+00:00,0.57261,0.57284,0.57242,0.57246,1122
2025-12-02 05:00:00+00:00,0.57246,0.57292,0.5724,0.57286,972
2025-12-02 06:00:00+00:00,0.57285,0.57287,0.57241,0.57278,1329
2025-12-02 07:00:00+00:00,0.57278,0.57328,0.57269,0.57304,1762
2025-12-02 08:00:00+00:00,0.57304,0.5732,0.57224,0.57251,2037
2025-12-02 09:00:00+00:00,0.57249,0.57265,0.57154,0.57177,1756
2025-12-02 10:00:00+00:00,0.57178,0.57181,0.57111,0.57133,2022
2025-12-02 11:00:00+00:00,0.57132,0.57186,0.57128,0.57157,1837
2025-12-02 12:00:00+00:00,0.57156,0.57244,0.57146,0.57236,1940
2025-12-02 13:00:00+00:00,0.57233,0.57312,0.57222,0.57312,2091
2025-12-02 14:00:00+00:00,0.57312,0.57367,0.57281,0.57334,4075
2025-12-02 15:00:00+00:00,0.57335,0.57448,0.57256,0.57402,4343
2025-12-02 16:00:00+00:00,0.57403,0.57406,0.57236,0.57252,4188
2025-12-02 17:00:00+00:00,0.5725,0.57328,0.57234,0.5729,2612
2025-12-02 18:00:00+00:00,0.5729,0.57307,0.5725,0.57279,784
2025-12-02 19:00:00+00:00,0.57278,0.57362,0.57274,0.57342,630
2025-12-02 20:00:00+00:00,0.57345,0.57376,0.57335,0.57354,903
2025-12-02 21:00:00+00:00,0.57352,0.5739,0.57337,0.57382,689
2025-12-02 22:00:00+00:00,0.57358,0.57384,0.5735,0.57361,569
2025-12-02 23:00:00+00:00,0.57362,0.57412,0.5736,0.5741,630
2025-12-03 00:00:00+00:00,0.5741,0.57446,0.5735,0.5739,3348
2025-12-03 01:00:00+00:00,0.57388,0.57471,0.57374,0.57463,2846
2025-12-03 02:00:00+00:00,0.57462,0.57525,0.5746,0.57508,2225
2025-12-03 03:00:00+00:00,0.57508,0.57525,0.57485,0.57487,1986
2025-12-03 04:00:00+00:00,0.57488,0.57532,0.5748,0.57528,1435
2025-12-03 05:00:00+00:00,0.57529,0.57557,0.57518,0.57542,1539
2025-12-03 06:00:00+00:00,0.57544,0.57544,0.57486,0.57512,1758
2025-12-03 07:00:00+00:00,0.57512,0.57552,0.57437,0.57447,2135
2025-12-03 08:00:00+00:00,0.5745,0.57468,0.574,0.57439,2568
2025-12-03 09:00:00+00:00,0.5744,0.57458,0.57395,0.57419,2929
2025-12-03 10:00:00+00:00,0.5742,0.575,0.57418,0.57485,2387
2025-12-03 11:00:00+00:00,0.57485,0.57519,0.57468,0.57505,2254
2025-12-03 12:00:00+00:00,0.57504,0.57517,0.57457,0.57458,1715
2025-12-03 13:00:00+00:00,0.57456,0.57572,0.57434,0.57472,3846
2025-12-03 14:00:00+00:00,0.57471,0.57512,0.57346,0.57474,5523
2025-12-03 15:00:00+00:00,0.57458,0.5766,0.57432,0.57627,5622
2025-12-03 16:00:00+00:00,0.57626,0.57714,0.57622,0.57675,3365
2025-12-03 17:00:00+00:00,0.57676,0.5773,0.57666,0.57718,2098
2025-12-03 18:00:00+00:00,0.57718,0.57754,0.57713,0.57728,932
2025-12-03 19:00:00+00:00,0.57726,0.57766,0.57726,0.57766,1074
2025-12-03 20:00:00+00:00,0.57766,0.57766,0.57732,0.57742,656
2025-12-03 21:00:00+00:00,0.57742,0.57774,0.5774,0.57742,666
2025-12-03 22:00:00+00:00,0.57714,0.57733,0.57714,0.57725,727
2025-12-03 23:00:00+00:00,0.57724,0.57742,0.57716,0.57732,732
2025-12-04 00:00:00+00:00,0.57732,0.57748,0.5767,0.57748,1845
2025-12-04 01:00:00+00:00,0.57748,0.57764,0.5766,0.5768,2726
2025-12-04 02:00:00+00:00,0.5768,0.57716,0.57674,0.57689,2075
2025-12-04 03:00:00+00:00,0.57687,0.57689,0.57614,0.57675,2450
2025-12-04 04:00:00+00:00,0.57676,0.5772,0.57667,0.57714,1838
2025-12-04 05:00:00+00:00,0.5771,0.57743,0.57692,0.57714,2432
2025-12-04 06:00:00+00:00,0.57716,0.57718,0.57654,0.57694,2390
2025-12-04 07:00:00+00:00,0.57696,0.57738,0.57664,0.57733,1895
2025-12-04 08:00:00+00:00,0.57732,0.57788,0.57727,0.57732,3162
2025-12-04 09:00:00+00:00,0.57732,0.57772,0.57709,0.57733,2516
2025-12-04 10:00:00+00:00,0.57734,0.57752,0.57674,0.57682,2247
2025-12-04 11:00:00+00:00,0.57682,0.57716,0.57657,0.57708,2421
2025-12-04 12:00:00+00:00,0.57707,0.5773,0.57635,0.57665,2341
2025-12-04 13:00:00+00:00,0.57668,0.57678,0.5758,0.57648,3751
2025-12-04 14:00:00+00:00,0.57649,0.57766,0.57642,0.57694,4186
2025-12-04 15:00:00+00:00,0.57694,0.57786,0.57624,0.5775,4164
2025-12-04 16:00:00+00:00,0.5775,0.5776,0.57688,0.57735,3498
2025-12-04 17:00:00+00:00,0.57735,0.57742,0.57706,0.57726,2013
2025-12-04 18:00:00+00:00,0.57726,0.57753,0.57702,0.57714,900
2025-12-04 19:00:00+00:00,0.57711,0.57714,0.57656,0.57686,1294
2025-12-04 20:00:00+00:00,0.57684,0.57686,0.57652,0.57666,1071
2025-12-04 21:00:00+00:00,0.57666,0.57673,0.57616,0.57622,673
2025-12-04 22:00:00+00:00,0.57641,0.57661,0.57592,0.5763,7471
2025-12-04 23:00:00+00:00,0.5763,0.57638,0.57583,0.5759,951
2025-12-05 00:00:00+00:00,0.5759,0.5764,0.5759,0.57638,1741
2025-12-05 01:00:00+00:00,0.5764,0.57698,0.5764,0.57682,1964
2025-12-05 02:00:00+00:00,0.57684,0.57696,0.57646,0.5766,1737
2025-12-05 03:00:00+00:00,0.57659,0.57662,0.57622,0.57642,1232
2025-12-05 04:00:00+00:00,0.57642,0.57703,0.57638,0.57684,1528
2025-12-05 05:00:00+00:00,0.57684,0.5772,0.57664,0.57701,1925
2025-12-05 06:00:00+00:00,0.57702,0.57756,0.57692,0.57748,1685
2025-12-05 07:00:00+00:00,0.57748,0.5781,0.57734,0.5774,2755
2025-12-05 08:00:00+00:00,0.57742,0.5779,0.57717,0.57724,3223
2025-12-05 09:00:00+00:00,0.57724,0.57754,0.577,0.57748,1764
2025-12-05 10:00:00+00:00,0.57749,0.57782,0.57716,0.57764,2271
2025-12-05 11:00:00+00:00,0.57764,0.57767,0.57674,0.5771,2512
